題目,選項A,選項B,選項C,選項D,選項E,選項F,選項G,選項H,選項I,正確答案,配分
"Given the following application, what is the name of the class printed at line e1? ```java package canyon; final class FallenException extends Exception{} final class HikingGer implements AutoCloseable{ @Override public void close() throws Exception{ throw new FallenException(); } } public class Cliff{ public final void climb() throws Exception{ try(HikingGear gear=new HikingGear()){ throw new RuntimeException(); } } public static void main(String... rocks){ try{ new Cliff().climb(); }catch(Throwable t){ System.out.println(t); //e1 } } } ```",canyon.FallenException,java.lang.RuntimeException,The code does not compile.,"The code compile, but the answer cannot be determined until runtime.",None of the above,,,,,B,1
"Given: What must be added in line 1 to compile this class? ```java import java.io.FileNotFoundException; import java.io.IOException; public class Tester{ public static void main(String[] args){ try{ doA(); }//line 1 } private static void doA() throws Exception,IndexOutOfBoundsException{ if(false){ throw new FileNotFoundException(); }else{ throw now IndexOutOfBoundsException(); } } } ```",catch(FileNotFoundException | Exception e){},catch(FileNotFoundException e){} catch(IndexOutOfBoundsException e){},catch(Exception e){},catch(IndexOutOfBoundsEexception e){} catch(FileNotFoundException e){},catch(FileNotFoundException | IndexOutBoundException e){},,,,,C,1
"Given: You want to read data through the reader object. Which statement inserted on line 1 will accomplish this? ```java char[] characters=new char[100]; try(FileReader reader=new FileReader(""file_to_path"");){ // line 1 System.out.println(String.valueOf(characters)); } catch(IOException e){ e.printStackTrace(); } ```",reader.readLine();,characters=reader.read();,reader.read(characters);,characters.read();,,,,,,C,1
"Given: and the code fragment: What is the result? ```java try{ String param1=""oracle""; if(param1.equalsIgnoreCase(""oracle"")) { throw new ExSub(9001, ""APPLICATION ERROR-9001"",new FileNotFoundException(""MyFile.txt"")); } throw new ExSuper(9001, new FileNotFoundException(""MyFile.txt"")); // Line 1 } catch(ExSuper ex) { System.out.println(ex.getMessage()); } ```",Compilations fails at Line 1;,9001: java.io.FileNotFoundException:MyFile.txt-MyFile.txt,9001: APPLICATION ERROR-9001-MyFile.txt,9001: APPLICATION ERROR-9001-MyFile.txt 9001: java.io.FileNotFoundException: MyFile.txt-MyFile.txt,,,,,,C,1
"Given: What is the result? ```java public class Option{ public static void main(String[] args) { System.out.println(""Ans: ""+convert(""a"").get()); } private static Optional<Integer> convert(String s) { try{ return Optional.of(Integer.parseInt(s)); } catch(Exception e) { return Optional.empty(); } } } ```",Ans:,Ans: a,A java.util.NoSuchElementException is thrown at run time,The compilation fails,,,,,,C,1
"Given: What is the result? ```java import java.io.*; public class Tester { public static void main(String args[]) { try{ doA(); doB(); } catch(IOException e) { System.out.print(""C""); return; } finally { System.out.print(""d""); } System.out.print(""f""); } private static void doA() { System.out.print(""a""); if(false) { throw new IndexOutOfBoundsException(); } } private static void doB() throws FileNotFoundException { System.out.print(""b""); if(true) { throw new FileNotFoundException(); } } } ```",The compilation fails.,adf,abd,abcd,abdf,,,,,D,1
"Given: What is the output? ```java public class Test{ private int num=1; private int div=0; public void divide() { try { num=num/div; System.out.print(""Exception""); } catch(ArithmeticException ae) { num=100; } catch(Exception e) { num=200; } finally { num=300; } System.out.print(num); } public static void main(String args[]) { Test test=new Test(); test.divide(); } } ```",200,100,300,Exception,,,,,,C,1
Given: What is the output? ```java public class Test { private int sum; public int compute() { int x=0; while(x<3) { sum+=++x; } return sum/4; } public static void main(String[] args) { Test t=new Test(); int sum=t.compute(); sum=t.compute(); System.out.print(sum); } } ```,6,3,An exception is thrown at runtime,9,,,,,,B,1
Which of the following fills in the blank so this code compiles? ```java public static void getExceptions(Collection<__> coll){ coll.add(new RuntimeException()); coll.add(new Exception()); } ```,?,? extends Exception,? super Exception,None of the above,,,,,,C,1
"What does the following output? ```java 18: List<String> list=List.of( 19: ""Mary"",""had"",""a"",""little"",""lamb""); 20: Set<String> set=new HashSet<>(list); 21: set.addAll(list); 22: for(String sheep:set) 23: if(sheep.length()>1) 24: set.remove(sheep); 25: System.out.println(set); ```","[a,lamb,had,Mary,little]",[a],"[a,a]",The code does not compile.,The code throws an exception at runtime,,,,,E,1
Given: What is the result? ```java ArrayList<Integer> a1=new ArrayList<>(); a1.add(1); a1.add(2); a1.add(3); Iterator<Integer> itr=a1.iterator(); while(itr.hasNext()) { if(itr.next()==2) { a1.remove(2); System.out.print(itr.next()); } } ```,1 2 followed by an exception,1 2 3 followed by an exception,A ConcurrentModificationException is thrown at run time,1 2 4 5,,,,,,C,1
"Given: What is the result? ```java import java.util.ArrayList; import java.util.Arrays; public class NewMain{ public static void main(String[] args) { String[] catNames={""abyssinian"",""oxicat"", ""korat"",""laperm"",""bengal"",""sphynx""}; var cats=new ArrayList<>(Arrays.asList(catNames)); cats.sort((var a,var b)->-a.compareTo(b)); cats.forEach(System.out::println); } } ```",nothing,sphynx oxicat laperm korat bengal abyssinian,abyssinian oxicat korat laperm bengal sphynx,abyssinian bengal korat laperm oxicat sphynx,,,,,,B,1
"What is a possible output of the following application? ```java import java.util.*; import java.util.stream.*; public class Thermometer { private String feelsLike; private double temp; @Override public String toString(){ return feelsLike;} // Constructor/Getters/Setters Omitted public static void main(String... season) { var readings=List.of(new Thermometer(""HOT!"",72), new Thermometer(""Too Cold"",0), new Thermometer(""Just right!"",72)); readings .parallelStream() // k1 .collect(Collectors.groupingByConcurrent( Thermometer::getTemp)) // k2 .forEach(System.out::println); // k3 } } ```","{0.0=[Cold!], 72.0=[Hot!, Just right!]}","{0.0=[Cold!], 72.0=[Just right!], 72.0=[HOT!]}",The code does not compile because of line k1,The code does not compile because of line k2,The code does not compile because of line k3,None of the above,,,,E,1
"What is the output of the following application? ```java package lot; import java.util.function.*; public class Warehouse { private int quantity=40; private final BooleanSupplier stock; { stock=()->quantity>0; } public void checkInventory() { if(stock.get()) System.out.print(""Plenty!""); else { System.out.print(""On Backorder!""); } } public static void main(String... widget) { final Warehouse w13=new Warehouse(); w13.checkInventory(); } } ```",Plenty,On Backorder!,The code does not compile because of the checkInventory() method.,The code does not compile for a different reason,,,,,,C,1
Which code fragment represents a valid Comparator implementation?,"new Comparator<String>() { public int compareTo(String str1,String str2) { return str1.compareTo(str2); } };","public class Comps implements Comparator { public boolean compare(Object obj1,Object obj2) { return obj1.equals(obj2); } }","public class Comps implements Comparator { public int compare(String str1,String str2) { return str1.length()-str2.length(); } }","new Comparator<String>() { public int compare(String str1,String str2) { return str1.compareTo(str2); } };",,,,,,D,1
"Given: You replace the code on line 1 to use parallelStream. Which one is correct? ```java var fruits=List.of(""apple"",""orange"",""banana"",""lemon""); Optional<String> result=fruits.stream().filter(f->f.contains(""n"")).findAny();// line 1 System.out.println(result.get()); ```",The compilation fails.,The code will produce the same result,A NoSuchElementException is thrown at run time,The code may produce a different result,,,,,,D,1
"Given the code fragment: Which can replace line 2? ```java 1. var list=List.of(1,2,3,4,5,6,7,8,9,10); 2. UnaryOperator<Integer> u=i->i*2; 3. list.replaceAll(u); ```",UnaryOperator<Integer> u=var i->{return i*2;},UnaryOperator<Integer> u=i->{return i*2;},UnaryOperator<Integer> u=(var i)->(i*2);,UnaryOperator<Integer> u=(int i)->i*2;,,,,,,C,1
Which two are valid statements? （Choose two）,"BiPredicate<Integer,Integer> test=(final var x,y)->(x.equals(y));","BiPredicate<Integer,Integer> test=(Integer x,final Integer y)->(x.equals(y));","BiPredicate<Integer,Integer> test=(final Integer var x,var y)->(x.equals(y));","BiPredicate<Integer,Integer> test=(var x,final var y)->(x.equals(y));","BiPredicate<Integer,Integer> test=(Integer var x,final var y)->(x.equals(y));",,,,,"B,D",1
Why would you choose to use a peek operation instead of a forEach operation on a Stream?,to process the current item and return a stream,to process the current item and return void,to remove an item from the beginning of the stream,to remove an item from the end of the stream,,,,,,A,1
"Given the content from `lines.txt` and What is the Result? ```java String fileName=""lines.txt""; List<String> list=new ArrayList<>(); try(Stream<String> stream=Files.lines(Paths.get(fileName))) { list=stream .filter(line->!line.equalsIgnoreCase(""JAVA"")) .map(String::toUpperCase) .collect(Collectors.toList()); } catch(IOException e) { } list.forEach(System.out::println); ```",C C++ Go Kotlin,JAVA,C C++ GO KOTLIN,C C++ JAVA GO KOTLIN,,,,,,C,1
"Given: and the code fragment: Which two objects group all employees with a salary greater than 30 by neighborhood? （Choose two） ```java List<Employee> roster=new ArrayList<>(); Predicate<Employee> p=e->e.getSalary()>30; Function<Employee,Optional<String>> f= e->Optional.ofNullable(e.getNeighborhood()); ```","Map<Optional<String>,List<Employee>> r4=roster.stream() .collect(Collectors.groupingBy(f,Collectors.filtering(p,Collectors.toList())));","Map<Optional<String>,List<Employee>> r2=roster.stream().filter(p) .collect(Collectors.groupingBy(f,Employee::getNeighborhood));","Map<Optional<String>,List<Employee>> r5=roster.stream() .collect(Collectors.groupingBy(Employee::getNeighborhood, Collectors.filtering(p,Collectors.toList())));","Map<Optional<String>,List<Employee>> r3=roster.stream().filter(p) .collect(Collectors.groupingBy(p));","Map<String,List<Employee>> r1=roster.stream() .collect(Collectors.groupingBy(Employee::getNeighborhood, Collectors.filtering(p,Collectors.toList())));",,,,,"A,E",1
"Given the code fragment: What is the output? ```java public class Main { public static void main(String[] args) { List<String> fruits=List.of(""banana"",""orange"",""apple"",""lemon""); Stream<String> s1=fruits.stream(); Stream<String> s2=s1.peek(i->System.out.print(i+"" "")); System.out.println(""--------""); Stream<String> s3=s2.sorted(); Stream<String> s4=s3.peek(i->System.out.print(i+"" "")); System.out.println(""--------""); String strFruits=s4.collect(Collectors.joining("","")); } } ```",-------- -------- banana orange apple lemon apple banana lemon orange,banana orange apple lemon ------ apple banana lemon orange ------,----- banana orange apple lemon ----- apple banana lemon orange,----- -----,banana orange apple lemon apple banana lemon orange ------ ------,,,,,A,1
What statements are true about `requires mandated java.base`? （Choose two）,This output is expected when running the `java --list-modules` command.,This output is expected when running the `java --show-module-resolution` command.,This output is expected when running the `jdeps` command.,This output is expected when running the `jmod` command.,All modules will include this in the output.,Some modules will include this in the output.,,,,"C,E",1
What is the name of a file that declares a module?,mod.java,mod-data.java,mod-info.java,module.java,module-data.java,module-info.java,,,,F,1
Suppose you have a module that contains a class with a call to `exports(ChocolateLab.class)`. Which part of the module service contains this class?,Consumer,Service locator,Service provider,Service provider interface,None of the above,,,,,E,1
"How many of these keywords can be used in a module-info.java file: `close, export, import, require, and uses`?",None,One,Two,Three,Four,Five,,,,B,1
Which module provides the foundational APIs of the Java SE Platform?,java.lang,java.base,java.object,java.se,,,,,,B,1
"What is the output of the following application? ```java import java.util.*; public class SearchList<T> { private List<T> data; private boolean foundMatch=false; public SearchList(List<T> list) { this.data=list; } public void exists(T v,int start,int end) { if(end-start==0) {} else if(end-start==1) { foundMatch=foundMatch || v.equals(data.get(start)); } else { final int middle=start+(end-start)/2; new Thread(()->exists(v,start,middle)).run(); new Thread(()->exists(v,middle,end)).run(); } } public static void main(String[] a) throws Exception { List<Integer> data=List.of(1,2,3,4,5,6); SearchList<Integer> t=new SearchList<Integer>(data); t.exists(5,0,data.size()); System.out.print(t.foundMatch); } } ```",true,false,The code does not compile,The result is unknown until runtime,An exception is thrown,None of the above,,,,A,1
Which of the following methods is not available on an ExecutorService instance? （Choose two）,execute(Callable),shutdownNow(),submit(Runnable),exit(),submit(Callable),execute(Runnable),,,,"A,D",1
"Given: What is the output? ```java var c=new CopyOnWriteArrayList<>(List.of(""1"",""2"",""3"",""4"")); Runnable r=()->{ try{ Thread.sleep(150); } catch(InterruptedException e){ System.out.println(e); } c.set(3,""four""); System.out.print(c+"" ""); }; Thread t=new Thread(r); t.start(); for(var s:c) { System.out.print(s+"" ""); Thread.sleep(100); } ```","1 2 [1, 2, 3, four] 3 4","1 2 [1, 2, 3, 4] 3 four","1 2 [1, 2, 3, 4] 3 4","1 2 [1, 2, 3, four] 3 four",,,,,,A,1
Given: and and and What needs to change to make these classes compile and still handle all types of Interface Worker? ```java public class Main<T extends Worker> extends Thread { // Line 1 private List<T> processes=new ArrayList<>(); //line 2 public void addProcess(HardWorker w) { // line 3 processes.add(w); } public void run() { processes.forEach((p)->p.doProcess()); } } ```,Replace Line 1 with `public class Main<T extends HardWorker> extends Thread {`,Replace Line 3 with `public void addProcess(T w) {`,Replace Line 3 with `public void addProcess(Worker w) {`,Replace Line 2 with `private List<HardWorker> processes=new ArrayList<>();`,,,,,,B,1
Why does Console `readPassword()` return a char array rather than a String?,It improves performance,It improves security,Passwords must be stored as a char array,String cannot hold the individual password characters,It adds encryption,None of the above,,,,B,1
Fill in the blanks: Writer is a(n) ___________ that related stream classes __________,"concrete class, extend","abstract class, extend","abstract class, implement","interface, extend","interface, implement",None of the above,,,,B,1
"Given: You want to implement the `java.io.Serializable` interface to the MyPersistenceData class. Which method should be overridden? ```java class MyPersistenceData { String str; private void methodA() { System.out.println(""methodA""); } } ```",the readExternal method,the readExternal and writeExternal method,the writeExternal method,nothing,,,,,,D,1
"Fill in the blanks: ___________ means the state of an object cannot be changed, while _________ means that it can","Encapsulation, factory method","Immutability, mutability","Regidity, flexibility","Static, instance","Tightly coupled, loosely coupled",None of the above,,,,B,1
How do you change the value of an instance variable in an immutable class?,Call the setter method,Remove the final modifier and set the instance variable directly,Create a new instance with an inner class,"Use a method other than Option A, B, or C.",You can't,,,,,E,1
"Given: Which change would make Foo more secure? ```java public class Foo { public static String ALPHA=""alpha""; protected String beta=""beta""; private final String delta; public Foo(String d) { delta=ALPHA+d; } public String foo() { return beta+=delta; } } ```",private String delta;,"public String beta=""beta"";","protected final String beta=""beta"";","public static final String ALPHA=""alpha"";",,,,,,D,1
"What is the most likely outcome of this code if the bunnies table is empty? ```java var url=""jdbc:derby:bunnies""; var sql=""insert into bunny(name,color) values(?,?)""; try(var conn=DriverManager.getConnection(url); var stmt=conn.createStatement()){ stmt.setString(1,""Hoppy""); stmt.setString(2,""Brown""); stmt.executeUpdate(sql); } ```",One row is inserted into the table.,Two rows are inserted into the table.,The code does not compile.,The code throws a SQLException,,,,,,C,1
What must be the first characters of a database URL?,"db,",db:,"jdbc,",jdbc:,None of the above,,,,,D,1
"Assuming the user credentials are correct, which expression will create a Connection?","DriverManager.getConnection(""jdbc:derby:com"");","DriverManager.getConnection(""jdbc.derby.com"");","DriverManager.getConnection(""http://database.jdbc.com"",""J_SMITH"",""dt12%2f3"");",DriverManager.getConnection();,"DriverManager.getConnection(""J_SMITH"",""dt12%2f3"");",,,,,A,1
Which of the following are considered locales? （Choose three）,Culture region,Local address,City,Time zone region,Political region,Geographical region,,,,"A,E,F",1
"When localizing an application, which type of data varies in presentation depending on locale?",Currencies,Dates,Both,Neither,,,,,,C,1
Given the code fragment: You want to display the value of currency as $100.00. Which code inserted on line 1 will accomplish this? ```java Locale locale=Locale.US; // Line 1 double currency=1_00.00; System.out.println(formatter.format(currency)); ```,NumberFormat formatter=NumberFormat.getInstance(locale).getCurrency();,NumberFormat formatter=NumberFormat.getInstance(locale);,NumberFormat formatter=NumberFormat.getCurrency(locale);,NumberFormat formatter=NumberFormat.getCurrencyInstance(locale);,,,,,,D,1
Which code fragment does a service use to load the service provider with a Print interface?,private java.util.ServiceLoader<Print> loader=ServiceLoader.load(Print.class);,private Print print=com.service.Provider.getInstance();,private java.util.ServiceLoader<Print> loader=new java.util.ServiceLoader<>();,private Print print=new com.service.PrintImpl();,,,,,,A,1
What modifier is used to mark an annotation element as optional?,optional,default,required,value,case,None of the above,,,,B,1
"Fill in the blank with the correct annotation usage that allows the code to compile without any warnings. ```java @Deprecated(since=""5.0"") public class ProjectPlanner<T>{ ProjectPlanner create(T t) { return this; } } @SuppressWarnings(________) class SystemPlanner { ProjectPlanner planner=new ProjectPlanner().create(""TPS""); } ```",value=ignoreAll,"value=""deprecation"",""unchecked""","""unchecked"",""deprecation""","{""deprecation"",""unchecked""}","""deprecation""",None of the above,,,,D,1
